ID,protocol,success,keygen_time,encap_time,decap_time,total_time,key_size,error
60,KYBER,True,0.0001467000001866836,0.00013659999967785552,0.00014209999790182337,0.000428699997428339,32,
61,KYBER,True,0.0001292000015382655,0.0001007999999274034,0.00010690000272006728,0.0003389999983482994,32,
62,KYBER,True,0.00011999999696854502,0.00014970000120229088,0.00017330000264337286,0.0004468000006454531,32,
63,KYBER,True,0.00025520000053802505,0.00012570000035339035,0.00013450000187731348,0.0005184000001463573,32,
64,KYBER,True,0.00012849999984609894,9.840000348049216e-05,0.00010660000043571927,0.0003355000008014031,32,
65,KYBER,True,0.00012939999942318536,0.00012059999789926223,0.00021299999934853986,0.00046659999861731194,32,
66,KYBER,True,0.00012140000035287812,9.779999891179614e-05,0.00010969999857479706,0.0003311000000394415,32,
67,KYBER,True,0.0001097999993362464,0.00010619999738992192,0.00016070000128820539,0.0003797000026679598,32,
68,KYBER,True,0.00016229999891947955,0.000139899999339832,0.00011480000102892518,0.0004201000010652933,32,
69,KYBER,True,0.00015500000154133886,0.00011950000043725595,0.00010900000052060932,0.00038610000046901405,32,
70,KYBER,True,0.0001540000012028031,0.00014100000043981709,0.00015580000035697594,0.0004541000016615726,32,
71,KYBER,True,0.00013419999959296547,0.00014659999942523427,0.00018040000213659368,0.0004650000009860378,32,
72,KYBER,True,0.00017120000120485201,0.00013519999993150122,0.00011280000035185367,0.0004217000023345463,32,
73,KYBER,True,0.0001171000003523659,0.00015919999714242294,0.00014290000035543926,0.00042210000174236484,32,
74,KYBER,True,0.00017750000188243575,0.00018039999849861488,0.00019350000002305023,0.0005550999994738959,32,
75,KYBER,True,0.00015659999917261302,0.00010290000136592425,0.00010710000060498714,0.0003691000019898638,32,
76,KYBER,True,0.00011530000119819306,9.929999941959977e-05,0.00010939999992842786,0.00032649999775458127,32,
77,KYBER,True,0.0001297999988310039,0.00012480000077630393,0.00012720000086119398,0.00038439999843831174,32,
78,KYBER,True,0.00012149999747634865,0.00010889999975915998,0.00010830000246642157,0.00034080000114045106,32,
79,KYBER,True,0.00013219999891589396,0.00017970000044442713,0.00014180000289343297,0.00045680000039283186,32,
80,KYBER,True,0.00015299999722628854,0.00015920000078040175,0.000180200000613695,0.0004957999990438111,32,
81,KYBER,True,0.00011280000035185367,9.749999662744813e-05,0.00010929999916697852,0.00032189999910769984,32,
82,KYBER,True,0.00016110000069602393,0.00012620000052265823,0.00011369999992894009,0.0004039999985252507,32,
83,KYBER,True,0.00014290000035543926,0.00020170000061625615,0.00018330000239075162,0.0005315000016707927,32,
84,KYBER,True,0.00015700000221841037,0.00014790000204811804,0.00016599999798927456,0.00047389999963343143,32,
85,KYBER,True,0.00011399999857530929,0.0001004999976430554,0.00011020000238204375,0.0003268000000389293,32,
86,KYBER,True,0.00012110000170650892,0.00010019999899668619,0.00010879999899771065,0.00033230000190087594,32,
87,KYBER,True,0.00015920000078040175,0.00016010000035748817,0.0001297999988310039,0.00045220000174595043,32,
88,KYBER,True,0.00020430000222404487,0.00018170000112149864,0.00013970000145491213,0.0005290999979479238,32,
89,KYBER,True,0.0001441000022168737,0.00016220000179600902,0.00015349999739555642,0.00046319999819388613,32,
90,KYBER,True,0.00011989999984507449,9.829999908106402e-05,0.00011040000026696362,0.00033070000063162297,32,
91,KYBER,True,0.00016079999841167592,0.00010800000018207356,0.00010729999848990701,0.00037850000080652535,32,
92,KYBER,True,0.00022449999960372224,0.00021079999714856967,0.0001779000012902543,0.0006175000016810372,32,
93,KYBER,True,0.0001216000018757768,9.87999992503319e-05,0.00010689999908208847,0.0003297000002930872,32,
94,KYBER,True,0.00016830000095069408,0.0001283999990846496,0.00011240000094403513,0.0004115999981877394,32,
