ID,protocol,success,keygen_time,derive_time,kdf_time,total_time,key_size,error
43,ECDH,True,0.00038839993067085743,0.00029250001534819603,0.00010480009950697422,0.0012620000634342432,32,
44,ECDH,True,0.00030170008540153503,0.00022199982777237892,6.209989078342915e-05,0.0009389000479131937,32,
45,ECDH,True,0.00025809998624026775,0.0002202000468969345,5.4099829867482185e-05,0.0008669998496770859,32,
46,ECDH,True,0.00026899995282292366,0.00022529996931552887,5.8099860325455666e-05,0.0008499000687152147,32,
47,ECDH,True,0.0002639000304043293,0.0002655000425875187,5.8399979025125504e-05,0.000914399977773428,32,
48,ECDH,True,0.00025589996948838234,0.00021999981254339218,5.370005965232849e-05,0.0008690999820828438,32,
49,ECDH,True,0.000242199981585145,0.00022109993733465672,5.429983139038086e-05,0.0008376000914722681,32,
50,ECDH,True,0.00024090008810162544,0.00021629990078508854,5.230004899203777e-05,0.000810900004580617,32,
51,ECDH,True,0.00038080010563135147,0.00030399998649954796,7.820012979209423e-05,0.0011383998207747936,32,
52,ECDH,True,0.00025780010037124157,0.00022699986584484577,6.940006278455257e-05,0.0008725000079721212,32,
53,ECDH,True,0.00041559990495443344,0.0003035999834537506,9.799981489777565e-05,0.0012026000767946243,32,
54,ECDH,True,0.00039229984395205975,0.00031960010528564453,9.300000965595245e-05,0.001175799872726202,32,
55,ECDH,True,0.0003106000367552042,0.00022240006364881992,5.7499855756759644e-05,0.0010283999145030975,32,
56,ECDH,True,0.0002617998979985714,0.0002226000651717186,5.62998466193676e-05,0.0008950999472290277,32,
57,ECDH,True,0.0002772000152617693,0.00022999988868832588,5.91999851167202e-05,0.0009878999553620815,32,
58,ECDH,True,0.00035390001721680164,0.0005201001185923815,5.9300102293491364e-05,0.0013660001568496227,32,
59,ECDH,True,0.0002641999162733555,0.0003263999242335558,5.9999991208314896e-05,0.0011668000370264053,32,
60,ECDH,True,0.0004012999124825001,0.00045050005428493023,0.00010990002192556858,0.0013757001142948866,32,
61,ECDH,True,0.0005598999559879303,0.0002818000502884388,8.739996701478958e-05,0.0013216000515967607,32,
62,ECDH,True,0.00034169992431998253,0.0002919998951256275,7.500010542571545e-05,0.0011144999880343676,32,
63,ECDH,True,0.00037540006451308727,0.00031189993023872375,6.350013427436352e-05,0.0011436999775469303,32,
64,ECDH,True,0.0003681001253426075,0.00023529981262981892,5.879998207092285e-05,0.001088900025933981,32,
65,ECDH,True,0.0002685000654309988,0.0002327000256627798,5.4800184443593025e-05,0.000916199991479516,32,
66,ECDH,True,0.00026199989952147007,0.00023010000586509705,5.970010533928871e-05,0.0009298000950366259,32,
67,ECDH,True,0.00032459991052746773,0.00022740010172128677,8.839997462928295e-05,0.0010347000788897276,32,
